searge,name,side,desc
field_110698_K,horseSaddleBack,2,
field_110699_Q,horseRightFaceMetal,2,The right metal connected to the horse's face ropes.
field_110700_P,horseLeftFaceMetal,2,The left metal connected to the horse's face ropes.
field_110701_S,horseRightRein,2,
field_110702_R,horseLeftRein,2,
field_110703_f,muleLeftEar,2,The left ear box for the mule model.
field_110704_g,muleRightEar,2,The right ear box for the mule model.
field_110705_d,horseLeftEar,2,
field_110706_e,horseRightEar,2,
field_110707_b,mouthTop,2,
field_110708_c,mouthBottom,2,
field_110709_a,head,2,
field_110710_n,tailTip,2,
field_110711_o,backLeftLeg,2,
field_110712_l,tailBase,2,
field_110713_m,tailMiddle,2,
field_110714_j,mane,2,
field_110715_k,body,2,
field_110716_h,neck,2,
field_110717_i,horseFaceRopes,2,The box for the horse's ropes on its face.
field_110718_w,backLeftHoof,2,
field_110719_v,backLeftShin,2,
field_110720_z,backRightHoof,2,
field_110721_y,backRightShin,2,
field_110722_x,backRightLeg,2,
field_110737_b,particleTextures,2,
field_110778_a,shadowTextures,2,
field_110780_a,arrowTextures,2,
field_110782_f,boatTextures,2,
field_110785_a,experienceOrbTextures,2,
field_110787_a,enderCrystalTextures,2,
field_110789_a,mapBackgroundTextures,2,
field_110798_h,RES_ITEM_GLINT,2,
field_110801_f,leashKnotModel,2,
field_110802_a,leashKnotTextures,2,
field_110804_g,minecartTextures,2,
field_110810_f,witherTextures,2,
field_110811_a,invulnerableWitherTextures,2,
field_110814_a,RES_ITEM_GLINT,2,
field_110826_a,steveTextures,2,
field_110830_f,creeperTextures,2,
field_110831_a,armoredCreeperTextures,2,
field_110833_a,cowTextures,2,
field_110835_a,batTextures,2,
field_110837_a,blazeTextures,2,
field_110839_f,endermanTextures,2,
field_110840_a,endermanEyesTexture,2,
field_110842_f,enderDragonExplodingTextures,2,
field_110843_g,enderDragonCrystalBeamTextures,2,
field_110844_k,enderDragonTextures,2,
field_110845_h,enderDragonEyesTextures,2,
field_110850_f,whiteHorseTextures,2,
field_110851_g,muleTextures,2,
field_110853_l,skeletonHorseTextures,2,
field_110854_k,zombieHorseTextures,2,
field_110855_h,donkeyTextures,2,
field_110861_l,witherSkeletonTextures,2,
field_110862_k,skeletonTextures,2,
field_110864_q,zombieVillagerTextures,2,
field_110865_p,zombieTextures,2,
field_110866_o,zombiePigmanTextures,2,
field_110868_f,ghastShootingTextures,2,
field_110869_a,ghastTextures,2,
field_110871_a,zombieTextures,2,
field_110873_a,magmaCubeTextures,2,
field_110875_f,ocelotTextures,2,
field_110876_g,redOcelotTextures,2,
field_110877_a,blackOcelotTextures,2,
